Letter Issue Date,Company Name,Issuing Office,Regulated Product,Subject,Letter Type
4/19/2016,"Tentay Food Sauces, Inc.",Center for Food Safety and Applied Nutrition,,,Warning Letter
4/15/2016,Pacific Nutritional Inc,Seattle District Office,,,Warning Letter
4/15/2016,Dutch Kettle (The),Atlanta District Office,,,Warning Letter
4/14/2016,Ultimate Weight Loss Co.,Florida District Office,,,Warning Letter
4/14/2016,"Neuralight HD, LLC",Center for Drug Evaluation and Research,,,Warning Letter
4/14/2016,Hollywood Skincare International Inc.,Florida District Office,,,Warning Letter
4/14/2016,Polydrug Laboratories Pvt. Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
4/14/2016,http://www.jccigs.com,Center for Tobacco Products,,,Warning Letter
4/14/2016,Lee Seed Company Inc,Kansas City District Office,,,Warning Letter
4/13/2016,DR E Liquid,Center for Tobacco Products,,,Warning Letter
4/13/2016,Cross Street Tobacco,Center for Tobacco Products,,,Warning Letter
4/13/2016,K's Tobacco and Brew,Center for Tobacco Products,,,Warning Letter
4/12/2016,"Spot On Sciences, Inc.",Center for Devices and Radiological Health,,,Warning Letter
4/12/2016,Florida Institute for Reproductive Sciences and Technologies,Florida District Office,,,Warning Letter
4/12/2016,"Vande Hey, Bruce",Minneapolis District Office,,,Warning Letter
4/8/2016,"Salud Natural Entrepreneurs, Inc.",Chicago District Office,,,Warning Letter
4/7/2016,D & E Dairy,Los Angeles District Office,,,Warning Letter
4/7/2016,Oeyama-Moto Cancer Research Foundation IRB,Center for Drug Evaluation and Research,,,Warning Letter
4/7/2016,"Apotheca Supply, Inc",New Orleans District Office,,,Warning Letter
4/6/2016,Advanced Vision Science Inc,Los Angeles District Office,,,Warning Letter
4/1/2016,Sri Krishna Pharmaceuticals Ltd. - Unit II,Center for Drug Evaluation and Research,,,Warning Letter
3/31/2016,"Line One Nutrition, Inc",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/31/2016,Total Body Nutrition,Center for Food Safety and Applied Nutrition,,,Warning Letter
3/31/2016,"NutraClipse, Inc",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/31/2016,"Xcel Sports Nutrition, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/30/2016,www.domino.be,Center for Tobacco Products,,,Warning Letter
3/30/2016,www.smokerlink.com,Center for Tobacco Products,,,Warning Letter
3/30/2016,www.dutyfree.io,Center for Tobacco Products,,,Warning Letter
3/30/2016,Tobacco Depot LLC,Center for Tobacco Products,,,Warning Letter
3/29/2016,"Benedict S. Liao, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
3/29/2016,"Oeyama-Moto-Medical Group Foundation, LLC",Center for Drug Evaluation and Research,,,Warning Letter
3/28/2016,Eclipse Aesthetics LLC,Dallas District Office,,,Warning Letter
3/28/2016,"Kostechka Dairy, LLC",Minneapolis District Office,,,Warning Letter
3/25/2016,"Chicago Indoor Garden, Inc.",Chicago District Office,,,Warning Letter
3/24/2016,Windmill Dairy,Los Angeles District Office,,,Warning Letter
3/24/2016,Winner Aviation Corp,Cincinnati District Office,,,Warning Letter
3/23/2016,Pharmaceutical Associates Inc,Center for Drug Evaluation and Research,,,Warning Letter
3/23/2016,The Wellness Pharmacy LLC,Baltimore District Office,,,Warning Letter
3/23/2016,"Burnham Orchards, Inc.",Cincinnati District Office,,,Warning Letter
3/23/2016,"Pressed Juicery, LLC",San Francisco District Office,,,Warning Letter
3/22/2016,"Post Winery, Inc.",Dallas District Office,,,Warning Letter
3/22/2016,"Casey's Bakery, Inc",Kansas City District Office,,,Warning Letter
3/21/2016,"Infusion Options, Inc.",New York District Office,,,Warning Letter
3/21/2016,Derreck Maxey,Dallas District Office,,,Warning Letter
3/21/2016,Lupa Gourmet Inc.,New York District Office,,,Warning Letter
3/18/2016,Atum Do Brasil Captura Industria e Comercio,Center for Food Safety and Applied Nutrition,,,Warning Letter
3/18/2016,"MGH Gourmet, Inc.dba Gourmet Foods, Inc.",San Francisco District Office,,,Warning Letter
3/17/2016,"Lystn, LLC dba Answers Pet Food",Philadelphia District Office,,,Warning Letter
3/17/2016,Grams Medical Inc.,Los Angeles District Office,,,Warning Letter
3/17/2016,"Rx Vitamins, Inc",New York District Office,,,Warning Letter
3/17/2016,"Saputo Dairy Foods USA, LLC",Baltimore District Office,,,Warning Letter
3/17/2016,Terumo Medical Corporation,Baltimore District Office,,,Warning Letter
3/17/2016,MRI Imaging Specialist,Atlanta District Office,,,Warning Letter
3/16/2016,Custom Compounding Center,Dallas District Office,,,Warning Letter
3/16/2016,Black Onyx World LLC dba Alikay Naturals,Florida District Office,,,Warning Letter
3/16/2016,"Shenzhen Foxconn Trade Co., Ltd.",Center for Tobacco Products,,,Warning Letter
3/15/2016,"Global Marketing Enterprises, Inc.",Chicago District Office,,,Warning Letter
3/14/2016,Liberty Drug & Surgical,New Jersey District Office,,,Warning Letter
3/13/2016,http://cigs4.me,Center for Tobacco Products,,,Warning Letter
3/11/2016,Swedish Tobacco,Center for Tobacco Products,,,Warning Letter
3/11/2016,Herbal Junction,Seattle District Office,,,Warning Letter
3/10/2016,Complete Pharmacy and Medical Solutions LLC,Florida District Office,,,Warning Letter
3/10/2016,"Cheta Nand, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
3/10/2016,DrNaturalHealing Inc.,Philadelphia District Office,,,Warning Letter
3/10/2016,Essential Pharmacy Compounding,Kansas City District Office,,,Warning Letter
3/8/2016,"High Hopes Farms, PTSP",Baltimore District Office,,,Warning Letter
3/8/2016,Bertrand Bulls,Kansas City District Office,,,Warning Letter
3/7/2016,Los Angeles Fish Co.,Los Angeles District Office,,,Warning Letter
3/7/2016,"Ronnie Coleman Signature Series/Rcba Nutraceuticals, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/7/2016,"Journey Health USA, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/7/2016,"Legendary Nutrition, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/7/2016,"Achieve Health, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
3/4/2016,DMP Ltd.,Center for Devices and Radiological Health,,,Warning Letter
3/4/2016,Dodwell Co Inc,San Francisco District Office,,,Warning Letter
3/3/2016,Aussimed Ltd,Center for Devices and Radiological Health,,,Warning Letter
3/3/2016,SureTek Medical,Atlanta District Office,,,Warning Letter
3/3/2016,Matthew Brennan,New York District Office,,,Warning Letter
3/3/2016,Emcure Pharmaceuticals Limited,Center for Drug Evaluation and Research,,,Warning Letter
3/3/2016,"Universal Formulas, Inc.",Detroit District Office,,,Warning Letter
3/3/2016,ALV Supplement Direct,Minneapolis District Office,,,Warning Letter
3/2/2016,Innovative Sterlization Technologies LLC,Cincinnati District Office,,,Warning Letter
3/1/2016,"Pikeville Medical Center Inc., Institutional Review Board",Center for Drug Evaluation and Research,,,Warning Letter
2/29/2016,Store2Door,Center for Tobacco Products,,,Warning Letter
2/29/2016,Leiter's Compounding,San Francisco District Office,,,Warning Letter
2/29/2016,"Yasmeen Investments, Inc.",Center for Tobacco Products,,,Warning Letter
2/29/2016,www.cigarettes-area.com,Center for Tobacco Products,,,Warning Letter
2/29/2016,Smokin Time,Center for Tobacco Products,,,Warning Letter
2/29/2016,Petes Pipe & Barrel Inc.,Center for Tobacco Products,,,Warning Letter
2/26/2016,"Repro-Med Systems, Inc. d/b/a RMS Medical Products",New York District Office,,,Warning Letter
2/26/2016,"Raphah, Inc.",New Jersey District Office,,,Warning Letter
2/25/2016,"VitaSea Products Int'l, dba Wachters Organic Sea Products",San Francisco District Office,,,Warning Letter
2/25/2016,Herbal Energetics/In Joy Organics,New England District Office,,,Warning Letter
2/24/2016,Weidenhamer And Morin Enterprise,Center for Tobacco Products,,,Warning Letter
2/24/2016,Jamaica Hospital Medical Center IRB,Center for Drug Evaluation and Research,,,Warning Letter
2/24/2016,"Gordondale Farms, Inc.",Minneapolis District Office,,,Warning Letter
2/24/2016,"HoneyCombs Industries, LLC",Denver District Office,,,Warning Letter
2/24/2016,http://www.smokesbymail.net,Center for Tobacco Products,,,Warning Letter
2/23/2016,Good Earth Egg Company,Kansas City District Office,,,Warning Letter
2/23/2016,U Minimart Inc. d/b/a Cigar Palace,Center for Tobacco Products,,,Warning Letter
2/22/2016,Cool Lawn Holsteins LLC,Baltimore District Office,,,Warning Letter
2/19/2016,Alexander Neumeister,Center for Drug Evaluation and Research,,,Warning Letter
2/18/2016,C World KSG Corporation,Center for Devices and Radiological Health,,,Warning Letter
2/18/2016,Implants International Ltd.,Center for Devices and Radiological Health,,,Warning Letter
2/18/2016,"Sachau, Jake",Kansas City District Office,,,Warning Letter
2/18/2016,Original Cigarettes Indonesia,Center for Tobacco Products,,,Warning Letter
2/17/2016,Omega Laser Systems,Center for Devices and Radiological Health,,,Warning Letter
2/17/2016,Lucy's Weight Loss (dba. Waisted With Lucy),Dallas District Office,,,Warning Letter
2/17/2016,Unique Importer & Distributor Inc,New York District Office,,,Warning Letter
2/17/2016,Lake Fish Company Inc,Cincinnati District Office,,,Warning Letter
2/12/2016,"Preferred Meal Systems, Inc.",Philadelphia District Office,,,Warning Letter
2/11/2016,Gasco Industrial,San Juan District Office,,,Warning Letter
2/11/2016,Sharim Distributing Co Inc,Kansas City District Office,,,Warning Letter
2/5/2016,Beauty & Health International Inc.,Los Angeles District Office,,,Warning Letter
2/5/2016,Unicord Public Company Ltd.,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2016,HLS Aquatic Products,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/5/2016,Fusipim Sdn. Bhd.,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,"Bedfont Scientific, Ltd.",Center for Devices and Radiological Health,,,Warning Letter
2/4/2016,Eolane Vailhauques,Center for Devices and Radiological Health,,,Warning Letter
2/4/2016,Berwickshire Electronic Manufacturing Ltd.,Center for Devices and Radiological Health,,,Warning Letter
2/4/2016,Proceconsa S.A. Procesadora Continental de Alimentos S.A.,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,Blis LLC,Detroit District Office,,,Warning Letter
2/4/2016,Hardy Animal Nutrition LLC,Cincinnati District Office,,,Warning Letter
2/4/2016,OPS International Incorporated D/B/A Olympia Pharmacy,Florida District Office,,,Warning Letter
2/4/2016,Hochico Marine Processing Corp.,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,ABC Productions,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,Sana Te,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,Michigan Herbal Remedies,Center for Drug Evaluation and Research,,,Warning Letter
2/4/2016,PainBomb,Center for Drug Evaluation and Research,,,Warning Letter
2/4/2016,HealthyHempOil.com,Center for Drug Evaluation and Research,,,Warning Letter
2/4/2016,Dose of Nature,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,Green Garden Gold,Center for Food Safety and Applied Nutrition,,,Warning Letter
2/4/2016,"Morguetorium, LLC",Center for Drug Evaluation and Research,,,Warning Letter
2/3/2016,Infusion Systems of SW Florida Inc. dba Myerlee Pharmacy,Florida District Office,,,Warning Letter
2/3/2016,"ATS Labs, LLC",Dallas District Office,,,Warning Letter
2/3/2016,E Australia Consortium,Center for Tobacco Products,,,Warning Letter
2/2/2016,La Sabrosita Company Inc,Baltimore District Office,,,Warning Letter
2/2/2016,"Calwood Nutritionals, LLC.",Baltimore District Office,,,Warning Letter
2/2/2016,"Better Rx, LLC",Dallas District Office,,,Warning Letter
2/1/2016,"Fallon Wellness Pharmacy, L.L.C.",New York District Office,,,Warning Letter
2/1/2016,FHZ Trading Inc,Los Angeles District Office,,,Warning Letter
1/29/2016,Premium Foods USA Inc.,New York District Office,,,Warning Letter
1/29/2016,New Ocean Trading (USA) Inc.,Los Angeles District Office,,,Warning Letter
1/29/2016,Bullock Unlimted,Center for Tobacco Products,,,Warning Letter
1/29/2016,Ipca Laboratories Limited,Center for Drug Evaluation and Research,,,Warning Letter
1/28/2016,E. A. Carey (Europe) Ltd.,Center for Tobacco Products,,,Warning Letter
1/28/2016,Merck Animal Health,Center for Veterinary Medicine,,,Warning Letter
1/27/2016,CV. Arira Pangindo,Center for Food Safety and Applied Nutrition,,,Warning Letter
1/27/2016,Dechra Veterinary Products LLC,Kansas City District Office,,,Warning Letter
1/27/2016,Diamond Animal Health Inc.,Kansas City District Office,,,Warning Letter
1/27/2016,Noor Wholesale of Farmville,Center for Tobacco Products,,,Warning Letter
1/27/2016,"Tobacco Leaf II, Inc.",Center for Tobacco Products,,,Warning Letter
1/27/2016,dutyfreecigarettes.com,Center for Tobacco Products,,,Warning Letter
1/27/2016,Polette Cyril (Caribbean Variety Store),New York District Office,,,Warning Letter
1/27/2016,PT. United Kretek Indonesia,Center for Tobacco Products,,,Warning Letter
1/27/2016,Jing Xie,Center for Tobacco Products,,,Warning Letter
1/26/2016,Quality Animal Care Manufacturing,Kansas City District Office,,,Warning Letter
1/26/2016,Neogen Corporation,Detroit District Office,,,Warning Letter
1/26/2016,"Virbac Animal Health, Inc.",Dallas District Office,,,Warning Letter
1/22/2016,Elkins Dairy LLC,Cincinnati District Office,,,Warning Letter
1/22/2016,Terra Firma Botanicals,Seattle District Office,,,Warning Letter
1/21/2016,Cigarworld.de,Center for Tobacco Products,,,Warning Letter
1/21/2016,Smokin Java Inc.,Center for Tobacco Products,,,Warning Letter
1/20/2016,Majopa Industries Corporation,San Juan District Office,,,Warning Letter
1/20/2016,"Physician Preferred Medical, LLC",Dallas District Office,,,Warning Letter
1/19/2016,Rong Chang Trading LLC dba: Always Best,Los Angeles District Office,,,Warning Letter
1/19/2016,"Monte's Seafood Emporium, Inc.",New York District Office,,,Warning Letter
1/15/2016,"Shenzhen Creative Industry Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
1/15/2016,"Nutri-Dyn Midwest, Inc.",Minneapolis District Office,,,Warning Letter
1/15/2016,Green Supreme Inc.,Philadelphia District Office,,,Warning Letter
1/14/2016,Gator Feed Company,Florida District Office,,,Warning Letter
1/13/2016,"Alkebulan International Services, LLC",Baltimore District Office,,,Warning Letter
1/13/2016,"Kirkman Laboratories, Inc.",Seattle District Office,,,Warning Letter
1/13/2016,John D Ayars,Cincinnati District Office,,,Warning Letter
1/12/2016,Bateman's Mosida Farms LLC,Denver District Office,,,Warning Letter
1/11/2016,www.smokers-mall.com,Center for Tobacco Products,,,Warning Letter
1/8/2016,Coapt LLC,Chicago District Office,,,Warning Letter
1/8/2016,"Isolux, LLC",Florida District Office,,,Warning Letter
1/8/2016,Nutraloid Labs Inc,New York District Office,,,Warning Letter
1/8/2016,MasterPharm LLC,New York District Office,,,Warning Letter
1/5/2016,DiamoDent,Los Angeles District Office,,,Warning Letter
1/5/2016,"Solomon Snacks and Bakery, LLC",Minneapolis District Office,,,Warning Letter
1/5/2016,Reasy Farms,Philadelphia District Office,,,Warning Letter
1/4/2016,Philippine Foodtrade Corp,Los Angeles District Office,,,Warning Letter
1/4/2016,"Tibetan Herbal Balance, Inc.",New England District Office,,,Warning Letter
12/31/2015,www.ciga7.com,Center for Tobacco Products,,,Warning Letter
12/31/2015,cigarettes-cheaper.com,Center for Tobacco Products,,,Warning Letter
12/31/2015,"Zhejiang Hisun Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
12/30/2015,Malata African & Caribbean Market,New York District Office,,,Warning Letter
12/30/2015,Woodland Sedgwick LLC,Center for Tobacco Products,,,Warning Letter
12/30/2015,www.cheapcigarettes.com,Center for Tobacco Products,,,Warning Letter
12/30/2015,Bennett's Inc,New Orleans District Office,,,Warning Letter
12/30/2015,Irvine Stem Cell Treatment Center,Center for Biologics Evaluation and Research,,,Warning Letter
12/30/2015,Vansridge Dairy,New York District Office,,,Warning Letter
12/29/2015,Sorin Group Deutschland GmbH,Center for Devices and Radiological Health,,,Warning Letter
12/29/2015,Edo Sushi Express,New England District Office,,,Warning Letter
12/29/2015,Legacy Ranch #2,San Francisco District Office,,,Warning Letter
12/23/2015,Cadila Healthcare Limited,Center for Drug Evaluation and Research,,,Warning Letter
12/23/2015,Hawk Dairy Farm,Cincinnati District Office,,,Warning Letter
12/22/2015,"Oculo-Plastik, Inc.",Center for Devices and Radiological Health,,,Warning Letter
12/22/2015,"Flying Food Group, LLC.",Los Angeles District Office,,,Warning Letter
12/22/2015,"Uoya Inc. dba Shintoku, Inc.",New York District Office,,,Warning Letter
12/22/2015,Ionia Pharmacy,Los Angeles District Office,,,Warning Letter
12/22/2015,"ARB Medical, LLC",Minneapolis District Office,,,Warning Letter
12/21/2015,TFS Manufacturing Pty Ltd.,Center for Devices and Radiological Health,,,Warning Letter
12/21/2015,"SonicLife.com, LLC",Seattle District Office,,,Warning Letter
12/18/2015,"PM Resources, Inc. dba Virbac Animal Health, Inc.",Kansas City District Office,,,Warning Letter
12/18/2015,"Nutrafill, LLC",Atlanta District Office,,,Warning Letter
12/18/2015,Spoonamore Drug Co Inc,Cincinnati District Office,,,Warning Letter
12/18/2015,"Fabrica Confecciones Soto, Inc.",San Juan District Office,,,Warning Letter
12/18/2015,Moringa Nativa,San Juan District Office,,,Warning Letter
12/17/2015,Advantage Biosciences,Los Angeles District Office,,,Warning Letter
12/17/2015,Sun Pharmaceutical Industries Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
12/16/2015,"Gregory J.Tracey, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
12/16/2015,Leaf Only LLC,Center for Tobacco Products,,,Warning Letter
12/15/2015,Chan Yat Hing Medicine Factory,Center for Drug Evaluation and Research,,,Warning Letter
12/14/2015,Improva Herbal Products,Center for Food Safety and Applied Nutrition,Juice,,Warning Letter
12/11/2015,Montana Compounding Pharmacy,Seattle District Office,,,Warning Letter
12/11/2015,The One Minute Miracle Inc,Florida District Office,,,Warning Letter
12/11/2015,Sunrise Noodle Corp.,Baltimore District Office,,,Warning Letter
12/11/2015,"Elite Massagers, LLC.",Dallas District Office,,,Warning Letter
12/10/2015,"Perfect Water and Essentials LLC, dba Aquagen International",Denver District Office,,,Warning Letter
12/10/2015,Pacific Tuna,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/10/2015,Miracle in the Green,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/10/2015,Agape III,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/10/2015,Target Agriculture,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/10/2015,www.cigarcap.com,Center for Tobacco Products,,,Warning Letter
12/10/2015,TobaccoTrain.com,Center for Tobacco Products,,,Warning Letter
12/9/2015,Chaya Herbal Food Inc,San Juan District Office,,,Warning Letter
12/9/2015,AnazaoHealth Corporation,San Francisco District Office,,,Warning Letter
12/9/2015,"LAR MFG., LLC",Florida District Office,,,Warning Letter
12/9/2015,African Spirit Tobacco Limited,Center for Tobacco Products,,,Warning Letter
12/9/2015,"JGT Tobacco Company, Inc. / Cousins Distributing, Inc.",Center for Tobacco Products,,,Warning Letter
12/8/2015,"San Francisco Chocolate Factory, Limited Liability Corporate",Los Angeles District Office,"Candy/Gum (without chocolate), Current Good Manufacturing Practices (CGMP), Preparation & Storage",,Warning Letter
12/8/2015,Brookshire Brothers Inc.,Dallas District Office,,,Warning Letter
12/7/2015,"McCormick Family Dairy, LLC",New York District Office,,,Warning Letter
12/7/2015,CLA-COR Farms LLC,Kansas City District Office,,,Warning Letter
12/7/2015,Westbrook's Cannery,Cincinnati District Office,,,Warning Letter
12/7/2015,Reliance Dairy LLC,New York District Office,,,Warning Letter
12/4/2015,"Farm Country Cheese House, Inc",Detroit District Office,,,Warning Letter
12/4/2015,Gary Manternach Farm,Kansas City District Office,,,Warning Letter
12/4/2015,Conrad Shada,Kansas City District Office,,,Warning Letter
12/3/2015,Cosmetic Dermatology,Florida District Office,,,Warning Letter
12/3/2015,Osage Lane Creamery LTD,Cincinnati District Office,,,Warning Letter
12/3/2015,"Nam & Nam, Inc. t/a Sam Sung Tofu",Baltimore District Office,,,Warning Letter
12/2/2015,"Good Seed, Inc.",Baltimore District Office,,,Warning Letter
12/2/2015,"Nature's Health, LLC",Denver District Office,,,Warning Letter
12/2/2015,Episciences Inc,Seattle District Office,,,Warning Letter
12/2/2015,Gregory S. Stone,Baltimore District Office,,,Warning Letter
12/2/2015,"Famous Smoke Shop-PA, Inc",Center for Tobacco Products,,,Warning Letter
12/2/2015,Home Grown Cellars,San Francisco District Office,,,Warning Letter
12/1/2015,COTRONIC Technology Limited,Center for Devices and Radiological Health,,,Warning Letter
12/1/2015,Baroun Farms,Minneapolis District Office,,,Warning Letter
11/30/2015,SDC Nutrition Inc,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/30/2015,Top Secret,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/30/2015,Applied Nutriceuticals,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/30/2015,"ICF International, LLC",Center for Food Safety and Applied Nutrition,,,Warning Letter
11/25/2015,"Xiantao Tongda Non-woven Products Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
11/25/2015,Medisca Inc,New York District Office,,,Warning Letter
11/24/2015,"Sagami Rubber Industries Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
11/24/2015,E-Care Technology Corp.,Center for Devices and Radiological Health,,,Warning Letter
11/24/2015,"Rocky Mountain Veterinary Services, Inc.",Seattle District Office,,,Warning Letter
11/23/2015,Herniamesh S.r.l,Center for Devices and Radiological Health,,,Warning Letter
11/23/2015,"Okamoto Industries, Inc.",Center for Devices and Radiological Health,,,Warning Letter
11/23/2015,Landmark Aviation,Atlanta District Office,,,Warning Letter
11/20/2015,H & H Seafood,Dallas District Office,,,Warning Letter
11/20/2015,Swiss Hill Farm,New York District Office,,,Warning Letter
11/19/2015,A1 Engineering,Los Angeles District Office,,,Warning Letter
11/19/2015,Rahm Dairy LLC,Minneapolis District Office,,,Warning Letter
11/18/2015,http://www.supersmokeshop.com,Center for Tobacco Products,,,Warning Letter
11/18/2015,Misono Food Ltd,New York District Office,,,Warning Letter
11/18/2015,Parker's Dairy Inc.,New York District Office,,,Warning Letter
11/18/2015,Yuga Mochtar,Center for Tobacco Products,,,Warning Letter
11/18/2015,"Farmo Foods, Inc.",San Francisco District Office,,,Warning Letter
11/17/2015,Tao Ling Seafood Inc,Los Angeles District Office,,,Warning Letter
11/17/2015,Halperns' Steak & Seafood Company LLC,Dallas District Office,,,Warning Letter
11/17/2015,"Cannon Farms, LLC",Seattle District Office,,,Warning Letter
11/13/2015,Harmless Harvest Thailand,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/13/2015,Hillcrest Homestead LLC,New York District Office,,,Warning Letter
11/12/2015,"Edge Pharmacy Services, LLC",New England District Office,,,Warning Letter
11/12/2015,Nature's Mojo Inc,New Jersey District Office,,,Warning Letter
11/10/2015,Monmouth Medical Center IRB,Center for Drug Evaluation and Research,,,Warning Letter
11/10/2015,Evelyn Effan,New York District Office,,,Warning Letter
11/10/2015,One Chang Corp.,New York District Office,,,Warning Letter
11/10/2015,http://www.cheapcigarettes-store.com,Center for Tobacco Products,,,Warning Letter
11/10/2015,Gold State Nut,San Francisco District Office,,,Warning Letter
11/10/2015,Hamburger Cigarren Contor (HACICO) GmbH UG,Center for Tobacco Products,,,Warning Letter
11/9/2015,Morales Fishco,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/6/2015,Jh Seafood Supply Inc,Los Angeles District Office,,,Warning Letter
11/5/2015,Linkwin Technology Co Ltd,Center for Devices and Radiological Health,,,Warning Letter
11/5/2015,"Dongguan Jianwei Electronics Products Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
11/5/2015,Eidon Incorporated,Los Angeles District Office,,,Warning Letter
11/5/2015,"BJ's II, Inc.",Center for Tobacco Products,,,Warning Letter
11/5/2015,"ACF, Inc.",Center for Tobacco Products,,,Warning Letter
11/5/2015,"Djarum America International Co., Ltd.",Center for Tobacco Products,,,Warning Letter
11/5/2015,Dr. Reddy's Laboratories Limited,Center for Drug Evaluation and Research,,,Warning Letter
11/5/2015,www.cigarettes4.me,Center for Tobacco Products,,,Warning Letter
11/5/2015,www.shopforsmoke.net,Center for Tobacco Products,,,Warning Letter
11/5/2015,"Heritage Pharmaceuticals, Inc.",New Jersey District Office,,,Warning Letter
11/5/2015,Taylors Tobacconists LTD,Center for Tobacco Products,,,Warning Letter
11/4/2015,Krasnyi Oktyabr Inc.,New York District Office,,,Warning Letter
11/3/2015,"Vern's Cheese, Inc.",Minneapolis District Office,,,Warning Letter
11/3/2015,"Advanced Physician Solutions, Inc.",Los Angeles District Office,,,Warning Letter
11/2/2015,Gamma-A Sia,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/2/2015,Prodimed SAS,Center for Devices and Radiological Health,,,Warning Letter
11/2/2015,"Shanghai Neo-Medical Import & Export Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
11/2/2015,"Swisher International, Inc.",Center for Tobacco Products,,,Warning Letter
11/2/2015,"WalkMed Infusion, LLC",Denver District Office,,,Warning Letter
11/2/2015,"Thomas S. Tooma, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
11/2/2015,Triangle Compounding,Atlanta District Office,,,Warning Letter
10/29/2015,"CrystalBraces, LLC.",Dallas District Office,Dental,,Warning Letter
10/28/2015,Johnson Memorial Cancer Center,New England District Office,,,Warning Letter
10/28/2015,Orgen Nutraceuticals,Detroit District Office,,,Warning Letter
10/28/2015,Texas Biostetic Instruments,Dallas District Office,,,Warning Letter
10/28/2015,"Biomedic Labs, LLC",Los Angeles District Office,,,Warning Letter
10/27/2015,Eclipse Aesthetics LLC,Center for Biologics Evaluation and Research,,,Warning Letter
10/27/2015,www.smokingline.com,Center for Tobacco Products,,,Warning Letter
10/27/2015,K Va T Food Stores,Center for Tobacco Products,,,Warning Letter
10/27/2015,You & Me Cigars & Tobacco,Center for Tobacco Products,,,Warning Letter
10/27/2015,Evolution Enterprises Ltd.,Center for Tobacco Products,,,Warning Letter
10/26/2015,http://www.supercigarettesshop.com,Center for Tobacco Products,,,Warning Letter
10/23/2015,"Preferred Freezer Services Of Atlanta, LLC",Atlanta District Office,,,Warning Letter
10/22/2015,Sandoz Private Limited,Center for Drug Evaluation and Research,,,Warning Letter
10/21/2015,SRB Enterprises Inc.,Center for Tobacco Products,,,Warning Letter
10/21/2015,http://www.diebelsg.com,Center for Tobacco Products,,,Warning Letter
10/20/2015,http://www.getcheapcigs.net,Center for Tobacco Products,,,Warning Letter
10/20/2015,Chris A Papas and Son Co,Cincinnati District Office,,,Warning Letter
10/20/2015,FLECHARD S.A.S.,Center for Food Safety and Applied Nutrition,,,Warning Letter
10/20/2015,Royal Seafood Baza,New York District Office,,,Warning Letter
10/19/2015,Digitimer Ltd.,Center for Devices and Radiological Health,,,Warning Letter
10/19/2015,Caney Distributors Inc,San Juan District Office,,,Warning Letter
10/19/2015,SSM Health Care St. Louis DBA SSM St. Clare Health Center,Kansas City District Office,,,Warning Letter
10/19/2015,River Valley Dairy,New York District Office,,,Warning Letter
10/19/2015,James A. Gilligan,New York District Office,,,Warning Letter
10/16/2015,Cardionics SA,Center for Devices and Radiological Health,,,Warning Letter
10/16/2015,"Sound Healing Arts, PC DBA Grounds for Tea LLC",Seattle District Office,,,Warning Letter
10/15/2015,http://www.all-discount-smokes.com,Center for Tobacco Products,,,Warning Letter
10/15/2015,www.discountforcigs.com,Center for Tobacco Products,,,Warning Letter
10/15/2015,Seeds of Light Enterprises,Florida District Office,,,Warning Letter
10/13/2015,Fehling Instruments GmbH & Co. KG,Center for Drug Evaluation and Research,,,Warning Letter
10/8/2015,77 Elektronika Kft.,Center for Devices and Radiological Health,,,Warning Letter
